,AA,AE,AH,AO,AW,AY,EH,ER,EY,IH,IY,OW,OY,UH,UW
,,,,,,,,,,,,,,,
AA,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
AE,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
AH,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
AO,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
AW,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
AY,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
EH,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
ER,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1
,,,,,,,,,,,,,,,
EY,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1
,,,,,,,,,,,,,,,
IH,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1
,,,,,,,,,,,,,,,
IY,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1
,,,,,,,,,,,,,,,
OW,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
,,,,,,,,,,,,,,,
OY,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1
,,,,,,,,,,,,,,,
UH,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1
,,,,,,,,,,,,,,,
UW,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
